label,cell,family,ladder,cell_sweep,energy_per_site,spin_rms,pair_rms,charge_std,density,global_relative,dmrg_last_sweep_delta
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,51,-0.5188203226846639,1.4066659779200628e-05,0.01796878686405848,0.005652875448487656,0.9374949089742565,2.3187503014124692e-06,4.198379315312195e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,52,-0.5188203315580571,1.4156831531313511e-05,0.01796879265285441,0.005652455876133612,0.9374950542800357,3.2901992799743732e-06,5.378055334404053e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,53,-0.5188203313052392,1.3949975976876734e-05,0.017968787926893447,0.0056525468260780025,0.9374948402412246,4.740865370504502e-06,1.2632170864890213e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,54,-0.5188203140470892,1.4168434021176372e-05,0.01796882883292917,0.005652698483647398,0.9374951518222667,7.526593562211963e-06,9.209818472299958e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,55,-0.5188205974633062,1.305582533995719e-05,0.017970408072726016,0.005631994659213361,0.9375026955509227,7.106904491375286e-05,5.41973577128374e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,56,-0.5188203308321825,1.139508009538661e-05,0.017968991023853277,0.00565669511788575,0.9374927058442847,8.07269767104647e-05,6.933612439752324e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,57,-0.5188203345269908,1.2682511780590944e-05,0.017968912677602335,0.005650866718620919,0.9374956882485961,2.810277959733739e-05,7.568579576400225e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,58,-0.5188203260039652,1.299247589815811e-05,0.0179687555145873,0.005653314883825515,0.9374946943398871,9.79607184341298e-06,2.7195096663490403e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,59,-0.5188203236718333,1.354329166561446e-05,0.01796877301942964,0.005652585226992861,0.9374951251633121,5.301097105989969e-06,2.9911342380728456e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,60,-0.5188203228563002,1.3678433950779108e-05,0.017968783708540964,0.00565279218797789,0.9374949848677556,2.7651954935331203e-06,2.9507685894714086e-07
