t0,V,family,rung,physical_charge,physical_spin_odd,physical_rung_pair
1.4,-0.4,stripe,49,0.9366172182732013,5.153665985635492e-07,-0.05312662219471619
1.4,-0.4,stripe,50,0.936879895466961,-4.7630485630612007e-07,-0.05257077532360936
1.4,-0.4,stripe,51,0.9366963893132193,6.146917518323747e-07,-0.05195150559408233
1.4,-0.4,stripe,52,0.9358875354975618,-6.269498600691703e-07,-0.051364550509565565
1.4,-0.4,stripe,53,0.9343593852660823,8.901798775468039e-07,-0.05093566936500454
1.4,-0.4,stripe,54,0.9321704854051551,-5.787450476774092e-07,-0.05080088550426215
1.4,-0.4,stripe,55,0.9295911554378086,-7.602713877064016e-07,-0.051066790291742666
1.4,-0.4,stripe,56,0.9271371224133749,7.6280745085755e-07,-0.05176399813065241
1.4,-0.4,stripe,57,0.9255540376537547,8.548801111452065e-09,-0.052783039854623695
1.4,-0.4,stripe,58,0.9257335020024009,-7.820108490208533e-07,-0.05384435782971709
1.4,-0.4,stripe,59,0.9286477951063277,2.59814731798369e-07,-0.05449990262998898
1.4,-0.4,stripe,60,0.9351955203173683,-5.144429197495581e-07,-0.053980051459477096
1.4,-0.4,stripe,61,0.9453591237493066,7.435920824916398e-08,-0.05126560579284552
1.4,-0.4,stripe,62,0.9580197443222548,-3.0719193466755e-08,-0.04711805983631484
1.4,-0.4,stripe,63,0.9727504316820521,1.2652343167607327e-07,-0.04172221826167566
1.4,-0.4,stripe,64,0.9830162010311403,-8.756670746845607e-08,-0.0229872764081777
1.4,-0.4,pairing,1,0.983028312286264,-1.657463413740068e-08,-0.022985601717560068
1.4,-0.4,pairing,2,0.9727672064903712,7.0610824270955774e-09,-0.04172025735332256
1.4,-0.4,pairing,3,0.9580358232305546,-2.706866789048412e-08,-0.047118914393819517
1.4,-0.4,pairing,4,0.9453736475153196,9.594571329096802e-08,-0.05126770786273076
1.4,-0.4,pairing,5,0.9352104013734885,-6.685052003629899e-08,-0.05398180607203719
1.4,-0.4,pairing,6,0.9286608942426517,7.01122880031324e-08,-0.054501842030822714
1.4,-0.4,pairing,7,0.9257440766837028,2.756880044113563e-07,-0.05384652095568414
1.4,-0.4,pairing,8,0.9255623066054559,-8.402503101634373e-08,-0.052784921579949365
1.4,-0.4,pairing,9,0.9271428062954873,-4.108229658267293e-07,-0.05176354370127002
1.4,-0.4,pairing,10,0.9295942771996046,8.72186385336704e-07,-0.051066435442234666
1.4,-0.4,pairing,11,0.9321712829137369,-2.4500963879958704e-07,-0.050801097867995845
1.4,-0.4,pairing,12,0.9343581081929925,2.135460765023689e-07,-0.05093510801537261
1.4,-0.4,pairing,13,0.9358860827720057,-1.2826715971303582e-07,-0.05136397223968027
1.4,-0.4,pairing,14,0.9366956879576068,5.3951289678833e-07,-0.051950556920850016
1.4,-0.4,pairing,15,0.9368805967656494,-5.493048332999573e-07,-0.05256866950599639
1.4,-0.4,pairing,16,0.936619673295231,8.359038929928175e-07,-0.05312378802447481
1.4,-0.4,pairing,17,0.9361143783460211,-8.656883502683455e-07,-0.0535584686803954
1.4,-0.4,pairing,18,0.9355425392468131,5.841949118484679e-07,-0.05385240273968646
1.4,-0.4,pairing,19,0.9350319925363944,-6.766907413718881e-07,-0.054016423360680355
1.4,-0.4,pairing,20,0.934653427461659,3.172572704546184e-07,-0.05407729168153076
1.4,-0.4,pairing,21,0.9344261901492488,-2.527388349021775e-07,-0.05406941356026651
1.4,-0.4,pairing,22,0.9343342970252327,4.8652611481236896e-08,-0.05402597171031409
1.4,-0.4,pairing,23,0.9343420941765014,-7.765216306077072e-08,-0.05397293371347027
1.4,-0.4,pairing,24,0.9344085924853172,-4.9971185064889845e-08,-0.05392716545235901
1.4,-0.4,pairing,25,0.9344975036386418,-2.4696661840573064e-08,-0.05389700861832016
1.4,-0.4,pairing,26,0.9345825422895933,-7.74357850064078e-08,-0.05388417818733458
1.4,-0.4,pairing,27,0.9346487580219995,-2.302635768169914e-08,-0.05388608125063373
1.4,-0.4,pairing,28,0.9346912115386259,-7.449251919477984e-08,-0.05389796761723307
