id,reference,direction,window_low,window_high,actual_low,actual_high,points,fit,exponent_or_inverse_length,r2,log_rmse,sign_changes,minimum_magnitude
backfill_6,32,1,12,28,12,24,13,power,13.307170065056196,0.9185657308164042,0.849910647217427,0,2.3160412507430872e-08
backfill_6,32,1,12,28,12,24,13,exponential,0.7466190075332366,0.8798057242388306,1.0325511167256465,0,2.3160412507430872e-08
backfill_7,16,1,4,12,4,12,9,power,1.2357822413991195,0.5820323899389094,0.3663522066724267,0,1.8834659207902088e-05
backfill_7,16,1,4,12,4,12,9,exponential,0.18428165072029848,0.705046779101218,0.3077542572516255,0,1.8834659207902088e-05
backfill_7,16,1,8,20,8,20,13,power,11.665541236738518,0.8793262135078549,1.2187267184310386,0,3.437384256907123e-09
backfill_7,16,1,8,20,8,20,13,exponential,0.9120180131765857,0.9460958628382752,0.814537177985995,0,3.437384256907123e-09
backfill_7,16,1,12,28,12,28,17,power,12.91289949953825,0.9313590047486198,0.8979498379203004,0,3.8748495396555474e-10
backfill_7,16,1,12,28,12,28,17,exponential,0.6575539401511686,0.8833919344114892,1.1703737859833339,0,3.8748495396555474e-10
backfill_7,24,-1,4,12,4,12,9,power,8.068167773509785,0.9478071600585419,0.6623377630545738,0,1.856156462842291e-06
backfill_7,24,-1,4,12,4,12,9,exponential,1.107601701024185,0.9730336591991939,0.47608561797917187,0,1.856156462842291e-06
backfill_7,24,-1,8,20,8,15,8,power,5.708605487954979,0.7152059440540826,0.7382971328455635,0,1.749201868682467e-06
backfill_7,24,-1,8,20,8,15,8,exponential,0.48212543074034314,0.6375994594186177,0.8328372470214546,0,1.749201868682467e-06
backfill_7,24,1,4,12,4,12,9,power,8.392503600853052,0.9266408518687363,0.8260799462564824,0,9.594811072989044e-07
backfill_7,24,1,4,12,4,12,9,exponential,1.1695429521171046,0.9802824191600252,0.42827404438949246,0,9.594811072989044e-07
backfill_7,24,1,8,20,8,20,13,power,6.3410304871181555,0.8485509544422796,0.7554820107716054,0,1.1068257022936985e-07
backfill_7,24,1,8,20,8,20,13,exponential,0.4606219179790492,0.7881983474622961,0.8934197099782575,0,1.1068257022936985e-07
backfill_7,24,1,12,28,12,28,17,power,13.799499339669792,0.8189347193159171,1.6620778342308358,0,2.3432980210853913e-11
backfill_7,24,1,12,28,12,28,17,exponential,0.7543368878232016,0.8951058589862606,1.2650549258634085,0,2.3432980210853913e-11
backfill_7,32,-1,4,12,4,12,9,power,1.4326712206609429,0.5953839837098777,0.4131698502585848,0,2.6952513665382868e-05
backfill_7,32,-1,4,12,4,12,9,exponential,0.2147494581792328,0.7287166940288633,0.338312950293652,0,2.6952513665382868e-05
backfill_7,32,-1,8,20,8,20,13,power,11.71320262820753,0.9056098677382317,1.0664447477094636,0,1.0526654854979653e-08
backfill_7,32,-1,8,20,8,20,13,exponential,0.9085426155212675,0.9591102155611231,0.7019116858548199,0,1.0526654854979653e-08
backfill_7,32,-1,12,28,12,23,12,power,13.96223532219608,0.9223495351507851,0.8219123983614325,0,1.0526654854979653e-08
backfill_7,32,-1,12,28,12,23,12,exponential,0.804562731770621,0.8866814265158589,0.9928966630946414,0,1.0526654854979653e-08
backfill_7,32,1,4,12,4,12,9,power,1.9964722585679389,0.700311507144464,0.4568901625775529,0,3.4902648083639914e-05
backfill_7,32,1,4,12,4,12,9,exponential,0.29366413748120374,0.8253858528670044,0.3487518234175592,0,3.4902648083639914e-05
backfill_7,32,1,8,20,8,20,13,power,12.770721246211792,0.9111724023342578,1.1244990276746383,0,7.393424312547711e-09
backfill_7,32,1,8,20,8,20,13,exponential,0.9893242198340605,0.9625760827399575,0.729893923336584,0,7.393424312547711e-09
backfill_7,32,1,12,28,12,24,13,power,14.060790829880903,0.906520946039948,0.9685388835754873,0,6.20074326219912e-09
backfill_7,32,1,12,28,12,24,13,exponential,0.7852692283199584,0.8602910037067285,1.1840555911265878,0,6.20074326219912e-09
backfill_8,16,1,4,12,4,12,9,power,1.1272761129789644,0.5799694334156622,0.33560415154971796,0,1.5055691109561727e-05
backfill_8,16,1,4,12,4,12,9,exponential,0.16595786661060122,0.6847478457413906,0.29074744568497113,0,1.5055691109561727e-05
backfill_8,16,1,8,20,8,20,13,power,11.357304918858954,0.8661220612842981,1.2592449648987099,0,2.1600825239641302e-09
backfill_8,16,1,8,20,8,20,13,exponential,0.8906782558487593,0.9376878888168401,0.8590964953769421,0,2.1600825239641302e-09
backfill_8,16,1,12,28,12,28,17,power,13.18563537654895,0.933329382062174,0.9027051322668174,0,3.1167470215964075e-10
backfill_8,16,1,12,28,12,28,17,exponential,0.6720171988391738,0.8867775196467996,1.1763728799959134,0,3.1167470215964075e-10
backfill_8,24,-1,4,12,4,12,9,power,8.126451619371405,0.9502601915624416,0.650415473978416,0,1.6382652110668918e-06
backfill_8,24,-1,4,12,4,12,9,exponential,1.1096624890467046,0.965190258924632,0.5441131315643322,0,1.6382652110668918e-06
backfill_8,24,-1,8,20,8,15,8,power,5.08777809032931,0.6723493965497516,0.7279262577792843,0,1.4996054261660725e-06
backfill_8,24,-1,8,20,8,15,8,exponential,0.4279265757733746,0.5944755831753472,0.8098235529873467,0,1.4996054261660725e-06
backfill_8,24,1,4,12,4,12,9,power,8.310481296467582,0.9149057231222436,0.8866399689267302,0,8.54442202569863e-07
backfill_8,24,1,4,12,4,12,9,exponential,1.1638674867439531,0.977510779329195,0.4558105069374957,0,8.54442202569863e-07
backfill_8,24,1,8,20,8,20,13,power,6.708420846708479,0.8503629214480956,0.7936110965106744,0,1.258787916855062e-07
backfill_8,24,1,8,20,8,20,13,exponential,0.4848493679055813,0.7819256514114381,0.9580549370812895,0,1.258787916855062e-07
backfill_8,24,1,12,28,12,28,17,power,13.214818766264981,0.8050685811466669,1.6656385847178228,0,2.8427124707472763e-11
backfill_8,24,1,12,28,12,28,17,exponential,0.7243484969859881,0.8847624176811326,1.2806690673601875,0,2.8427124707472763e-11
backfill_8,32,-1,4,12,4,12,9,power,1.6487370940667543,0.6356327635487962,0.436693829861169,0,3.0441733887367556e-05
backfill_8,32,-1,4,12,4,12,9,exponential,0.24544856669175039,0.7673879033063356,0.34891813649114256,0,3.0441733887367556e-05
backfill_8,32,-1,8,20,8,20,13,power,11.993376021948492,0.9129902668595057,1.0441485114907239,0,1.2357203090459077e-08
backfill_8,32,-1,8,20,8,20,13,exponential,0.9275626414695595,0.9612975208517455,0.6963823383785691,0,1.2357203090459077e-08
backfill_8,32,-1,12,28,12,23,12,power,13.785866216362843,0.9127128302822133,0.8649450202271332,0,1.2301203535904727e-08
backfill_8,32,-1,12,28,12,23,12,exponential,0.7921418369205878,0.8724370490909101,1.0456240780365165,0,1.2301203535904727e-08
