id,kind,channel,r,mean,mean_absolute,p10,p90
backfill_1,raw,leg0,32,0.004889994183183712,0.004889994183183712,0.004817189394421937,0.004985119783151226
backfill_1,raw,leg1,1,0.051820879460220036,0.051820879460220036,0.05141287624524592,0.052031571221774285
backfill_1,raw,leg1,2,0.010135176530637868,0.010135176530637868,0.009844881732092078,0.010232910393207034
backfill_1,raw,leg1,3,0.009714115500881542,0.009714115500881542,0.009423965118544585,0.009829426499926462
backfill_1,raw,leg1,4,0.008731259071886552,0.008731259071886552,0.008485191667670047,0.008848582232561289
backfill_1,raw,leg1,5,0.008418920545204302,0.008418920545204302,0.00813229887812658,0.008544874799456564
backfill_1,raw,leg1,6,0.007854137755943406,0.007854137755943406,0.00759947579292346,0.00798053127920777
backfill_1,raw,leg1,7,0.007324227071928512,0.007324227071928512,0.007081548114012378,0.007450569355573728
backfill_1,raw,leg1,8,0.006858004231705396,0.006858004231705396,0.00660085822637187,0.006984796666868575
backfill_1,raw,leg1,9,0.006457202844580015,0.006457202844580015,0.006206556716556441,0.006582203637825458
backfill_1,raw,leg1,10,0.006130994496737982,0.006130994496737982,0.005889235583155591,0.006253939860986092
backfill_1,raw,leg1,11,0.0058710738696473525,0.0058710738696473525,0.005636331316820225,0.005992733928951059
backfill_1,raw,leg1,12,0.005669032102571762,0.005669032102571762,0.005442637472601744,0.005789648674045516
backfill_1,raw,leg1,13,0.0055140846324062505,0.0055140846324062505,0.005297135467150162,0.0056336292575396435
backfill_1,raw,leg1,14,0.0053962397341872055,0.0053962397341872055,0.005187342453589218,0.005515194027839766
backfill_1,raw,leg1,15,0.005306673067578456,0.005306673067578456,0.0051047828935572625,0.0054254271944818525
backfill_1,raw,leg1,16,0.0052381548897429174,0.0052381548897429174,0.005042668696278216,0.0053571920281663575
backfill_1,raw,leg1,17,0.005185029945719119,0.005185029945719119,0.0049956408882220376,0.005305134225577716
backfill_1,raw,leg1,18,0.005143037822834142,0.005143037822834142,0.004959584834538507,0.005264877879244073
backfill_1,raw,leg1,19,0.0051090689151174545,0.0051090689151174545,0.004931427047003681,0.005234157732960428
backfill_1,raw,leg1,20,0.0050809042382996316,0.0050809042382996316,0.004908917647872743,0.005213648087550388
