lineage,role,rung,charge_even,charge_odd,spin_even,spin_odd,pair_onsite_even,pair_onsite_odd,pair_rung,pair_leg_even,pair_leg_odd,pair_extended_s,pair_d,density,staggered_spin_odd
pairing,chi400_endpoint,15,-0.004513601836850646,8.421661622411147e-09,4.4741375712815945e-09,6.061657806862714e-08,-0.00021616086246248288,-6.837622078237869e-11,0.0,0.004250582959855005,1.126776618320599e-08,0.004250582959855005,0.004250582959855005,0.9338587028555336,-4.4413079031135894e-07
pairing,chi400_endpoint,16,-0.004516714208681763,7.972174944931992e-09,8.059860367223143e-09,-4.1331864542460545e-08,-0.0002195744273027076,-7.0004474179020514e-09,0.0,0.004315929558550634,3.1330402675434216e-09,0.004315929558550634,0.004315929558550634,0.9338130948649428,-3.0283388223473207e-07
pairing,chi400_endpoint,17,-0.0045557879943256725,6.317761102030833e-09,9.802044616735381e-09,2.078087951826353e-08,-0.00022247432951396747,-5.1392175585127965e-09,0.0,0.0043716557845500156,6.520916721311151e-09,0.0043716557845500156,0.0043716557845500156,0.9332405164762748,-1.5225914655470074e-07
pairing,chi400_endpoint,18,-0.0046099433850542056,2.0116613054163568e-09,1.1186213806808898e-08,-1.6398248557647488e-09,-0.00022451732095887507,-2.4589882444294277e-09,0.0,0.004410973556454721,8.618415349003622e-09,0.004410973556454721,0.004410973556454721,0.9324469356688347,-1.2014810674143561e-08
pairing,chi400_endpoint,19,-0.004662090087200268,-1.685317861828406e-09,1.0675525418963466e-08,-2.1742421219776015e-08,-0.0002256381310189964,-3.47854331198493e-09,0.0,0.004432623959223869,7.4404124161733115e-09,0.004432623959223869,0.004432623959223869,0.9316827897280946,1.593042535108502e-07
pairing,chi400_endpoint,20,-0.004701438078013047,-2.9576052327714986e-09,-6.351131902077728e-09,3.0379489601457116e-08,-0.0002259773430440819,-4.182726640237599e-09,0.0,0.004439329644132689,6.810657467897288e-09,0.004439329644132689,0.004439329644132689,0.9311061931991014,2.225870736338731e-07
pairing,chi400_endpoint,21,-0.004723775065028172,1.0865235278330332e-09,-1.6444763545689356e-08,-4.263955667369035e-08,-0.0002257879623170406,-3.283878144603558e-09,0.0,0.004435868075578589,1.1622038697742254e-08,0.004435868075578589,0.004435868075578589,0.9307788720598247,3.124151941175102e-07
pairing,chi400_endpoint,22,-0.00473013946533053,2.6855885475532415e-09,-1.4252403129433669e-08,3.985536701557081e-08,-0.00022533841893934126,-4.115223085123789e-09,0.0,0.004427353360756852,1.1577155952869136e-08,0.004427353360756852,0.004427353360756852,0.9306856095819278,2.920157523705891e-07
pairing,chi400_endpoint,23,-0.004724766253963935,3.911275841400608e-09,-1.4064173812751782e-08,-3.5168393562991576e-08,-0.00022485420183360655,-5.04878801652509e-09,0.0,0.004418046461019076,1.0388348555510907e-08,0.004418046461019076,0.004418046461019076,0.9307643474020687,2.576748296401199e-07
pairing,chi400_endpoint,24,-0.004713047949480605,3.6032877276555297e-09,-1.2489621951895444e-08,2.7093254643907258e-08,-0.00022447533432211683,-4.9648569378581186e-09,0.0,0.004410751511253014,1.115910710515998e-08,0.004410751511253014,0.004410751511253014,0.9309360647769895,1.9850920293662533e-07
pairing,chi400_endpoint,25,-0.004699936330579494,3.2633030327446078e-09,-9.197962229324716e-09,-2.1076813665242902e-08,-0.0002242705648288016,-4.972360368609742e-09,0.0,0.004406762938882573,1.1662217143382225e-08,0.004406762938882573,0.004406762938882573,0.9311281994652341,1.5442742247462338e-07
pairing,chi400_endpoint,26,-0.004688988135108679,3.2775382529520725e-09,-5.061101475628896e-09,1.3537379121115675e-08,-0.00022424142632416295,-5.4836433690169445e-09,0.0,0.004406145145839142,1.199693983305189e-08,0.004406145145839142,0.004406145145839142,0.9312886318374293,9.918684094889496e-08
pairing,chi400_endpoint,27,-0.0046820345794506375,3.5132308963056746e-09,-2.790769842867316e-09,-1.2805406999312138e-08,-0.00022434932380403994,-5.4095845905251325e-09,0.0,0.0044081716386289395,1.2204993785373472e-08,0.0044081716386289395,0.0044081716386289395,0.9313905276642243,9.382376425781658e-08
pairing,chi400_endpoint,28,-0.004679329882375828,3.732512203393629e-09,-1.0416536949404281e-09,1.553186242705777e-08,-0.00022453872233719932,-5.245779705138529e-09,0.0,0.004411775167681115,1.1932554934380654e-08,0.004411775167681115,0.004411775167681115,0.9314301616814409,1.1380019385165419e-07
pairing,chi400_endpoint,29,-0.0046799823808568695,3.539639407534184e-09,1.6956405832387056e-10,-2.5095283185923647e-08,-0.00022475313342875953,-5.078770539635401e-09,0.0,0.004415879597122799,1.267151888148868e-08,0.004415879597122799,0.004415879597122799,0.9314206001167569,1.838702927414726e-07
pairing,chi400_endpoint,30,-0.004682491343652473,3.4751710658448287e-09,1.1407297409189027e-09,4.1126970384613645e-08,-0.00022494799017216645,-5.165825997014936e-09,0.0,0.004419615681902534,1.1577551019877758e-08,0.004419615681902534,0.004419615681902534,0.9313838343452541,3.013326459883059e-07
pairing,chi400_endpoint,31,-0.004685259651526649,3.502820952999003e-09,1.7260681497380942e-09,-6.46844168590479e-08,-0.00022509245110901598,-5.005229151148127e-09,0.0,0.004422391083938947,1.2734284577124375e-08,0.004422391083938947,0.004422391083938947,0.9313432681898173,4.7393538361861776e-07
pairing,chi400_endpoint,32,-0.00468699915155033,3.324969417416862e-09,2.0799350082967988e-09,9.31371419452074e-08,-0.0002251682332308367,-5.00119043285441e-09,0.0,0.004423854842839596,1.1153611031078023e-08,0.004423854842839596,0.004423854842839596,0.931317777951177,6.824052722481655e-07
pairing,chi400_endpoint,33,-0.004686999679975054,3.2375690674386892e-09,1.865108284395539e-09,-1.2606723607698142e-07,-0.00022516806671282622,-5.0615450304490476e-09,0.0,0.004423852078786827,1.2723172070809932e-08,0.004423852078786827,0.004423852078786827,0.9313177702077609,9.236803358986245e-07
pairing,chi400_endpoint,34,-0.004685261885490586,3.2094535562174342e-09,8.315622981869275e-10,1.60834229097611e-07,-0.00022509163241308115,-5.224749847582101e-09,0.0,0.004422384573829795,1.0965057224612135e-08,0.004422384573829795,0.004422384573829795,0.9313432354538167,1.1784141493026423e-06
pairing,chi400_endpoint,35,-0.0046824967967816515,3.4823687223781152e-09,-1.19947181093788e-09,-1.9238497304908606e-07,-0.00022494712990577263,-5.261512120102404e-09,0.0,0.0044196101067385495,1.2409606968107403e-08,0.0044196101067385495,0.0044196101067385495,0.9313837544363364,1.4095828706761626e-06
pairing,chi400_endpoint,36,-0.004679993576772673,3.4822431917158614e-09,-3.770660658274777e-09,2.2113685415117712e-07,-0.00022475251435264917,-5.145072181139882e-09,0.0,0.004415874938394535,1.1571137746102869e-08,0.004415874938394535,0.004415874938394535,0.9314204360543472,1.6202446414953497e-06
pairing,chi400_endpoint,37,-0.004679348482183701,3.406466612260184e-09,-3.767137242123922e-09,-2.3826996947977526e-07,-0.000224538347658091,-5.197126546759262e-09,0.0,0.0044117716774163115,1.2233987568442337e-08,0.0044117716774163115,0.0044117716774163115,0.9314298891240768,1.7457770336848366e-06
